i,i_plus_1,lower_whisker,upper_whisker
0,1,0.6449673696057692,0.8661668354952681
1,2,0.5281815132387564,0.7886369022206225
2,3,0.41524727307521625,0.7124868646438683
3,4,0.31315098961413806,0.6336208121945335
4,5,0.2261427088543361,0.555211924957041
5,6,0.16245035691582466,0.47201493637256897
6,7,0.11067952784610743,0.4011920857808067
7,8,0.0735647857258763,0.33220282806946844
8,9,0.0438508966452625,0.27800939193161794
9,10,0.021348916562571832,0.2321338148237117
10,11,0.007833108393648952,0.18968467317038262
11,12,0.0,0.15604069750426602
12,13,0.0,0.12736728038759892
13,14,0.0,0.10141613613474068
14,15,0.0,0.08171369564149367
15,16,0.0,0.06499411958104719
16,17,0.0,0.05164576349718931
17,18,0.0,0.04063157118168399
18,19,0.0,0.031479916535207667
19,20,0.0,0.02387611701940166
20,21,0.0,0.01841294346618256
21,22,0.0,0.014230518872857669
22,23,0.0,0.010931346302432879
23,24,0.0,0.008372593649659196
24,25,0.0,0.006143856628536143
